122
40	8274.3604	13851.811	218.28389	0.0	0.0	60.0	1.0000000
68	13969.0996	2787.764	186.88470	0.0	0.0	-170.0	1.5199995
71	14086.4385	2651.309	194.43695	0.0	0.0	43.0	1.0400000
69	14700.0000	3000.000	181.50000	0.0	0.0	-180.0	2.9199982
69	14700.0000	3000.000	181.50002	0.0	0.0	-270.0	2.9199982
68	14700.0000	3000.000	183.50002	0.0	0.0	100.0	1.1799998
68	14561.0029	2229.375	209.50015	0.0	0.0	100.0	1.1799998
68	15331.7432	3088.263	209.50003	0.0	0.0	100.0	1.9999990
71	15553.7959	3111.918	212.43721	0.0	0.0	74.0	0.8000002
69	14700.0000	3000.000	181.49998	0.0	0.0	-90.0	2.9199982
69	14700.0000	3000.000	181.50005	0.0	0.0	0.0	2.9199982
68	14846.0889	3689.869	183.50006	0.0	0.0	-440.0	1.4399996
68	15544.0156	3262.060	209.50021	0.0	0.0	-190.0	1.2999997
247	16200.0000	8300.000	0.00000	0.0	0.0	35.0	1.0000000
247	16200.0000	8300.000	0.00000	0.0	0.0	35.0	1.0000000
247	16200.0000	8300.000	0.00000	0.0	0.0	35.0	1.0000000
247	16200.0000	8300.000	0.00000	0.0	0.0	35.0	1.0000000
247	16200.0000	8300.000	0.00000	0.0	0.0	35.0	1.0000000
247	16200.0000	8300.000	0.00000	0.0	0.0	35.0	1.0000000
